key,seed,tag,bath,p,nS,dephase,d,eta,omega_c,Tmin,Tmax,nT,slope_loglog,fit_loglog_slope,r2,csv,png,json
drude_nS2_deph__seed_1,1,drude_nS2_deph,drude,3.0,2,1,12,0.2,50.0,0.02,0.5,20,1.0000000000000002,1.0000000000000002,1.0,C:\Users\axioma338\Documents\Теория всего\Черные дыры\Алгербра\Репозиторий\near-extremal-threshold\figures\qnm_markov_gap\drude_nS2_deph\gap_vs_T_drude_nS2_deph_seed_1.csv,C:\Users\axioma338\Documents\Теория всего\Черные дыры\Алгербра\Репозиторий\near-extremal-threshold\figures\qnm_markov_gap\drude_nS2_deph\gap_vs_T_drude_nS2_deph_seed_1.png,C:\Users\axioma338\Documents\Теория всего\Черные дыры\Алгербра\Репозиторий\near-extremal-threshold\figures\qnm_markov_gap\drude_nS2_deph\gap_vs_T_drude_nS2_deph_seed_1.json
drude_nS2_deph__seed_2,2,drude_nS2_deph,drude,3.0,2,1,12,0.2,50.0,0.02,0.5,20,1.0000000000000004,1.0000000000000004,1.0,C:\Users\axioma338\Documents\Теория всего\Черные дыры\Алгербра\Репозиторий\near-extremal-threshold\figures\qnm_markov_gap\drude_nS2_deph\gap_vs_T_drude_nS2_deph_seed_2.csv,C:\Users\axioma338\Documents\Теория всего\Черные дыры\Алгербра\Репозиторий\near-extremal-threshold\figures\qnm_markov_gap\drude_nS2_deph\gap_vs_T_drude_nS2_deph_seed_2.png,C:\Users\axioma338\Documents\Теория всего\Черные дыры\Алгербра\Репозиторий\near-extremal-threshold\figures\qnm_markov_gap\drude_nS2_deph\gap_vs_T_drude_nS2_deph_seed_2.json
drude_nS2_deph__seed_3,3,drude_nS2_deph,drude,3.0,2,1,12,0.2,50.0,0.02,0.5,20,1.000000000000001,1.000000000000001,1.0,C:\Users\axioma338\Documents\Теория всего\Черные дыры\Алгербра\Репозиторий\near-extremal-threshold\figures\qnm_markov_gap\drude_nS2_deph\gap_vs_T_drude_nS2_deph_seed_3.csv,C:\Users\axioma338\Documents\Теория всего\Черные дыры\Алгербра\Репозиторий\near-extremal-threshold\figures\qnm_markov_gap\drude_nS2_deph\gap_vs_T_drude_nS2_deph_seed_3.png,C:\Users\axioma338\Documents\Теория всего\Черные дыры\Алгербра\Репозиторий\near-extremal-threshold\figures\qnm_markov_gap\drude_nS2_deph\gap_vs_T_drude_nS2_deph_seed_3.json
drude_nS2_deph__seed_4,4,drude_nS2_deph,drude,3.0,2,1,12,0.2,50.0,0.02,0.5,20,1.0000000000000013,1.0000000000000013,1.0,C:\Users\axioma338\Documents\Теория всего\Черные дыры\Алгербра\Репозиторий\near-extremal-threshold\figures\qnm_markov_gap\drude_nS2_deph\gap_vs_T_drude_nS2_deph_seed_4.csv,C:\Users\axioma338\Documents\Теория всего\Черные дыры\Алгербра\Репозиторий\near-extremal-threshold\figures\qnm_markov_gap\drude_nS2_deph\gap_vs_T_drude_nS2_deph_seed_4.png,C:\Users\axioma338\Documents\Теория всего\Черные дыры\Алгербра\Репозиторий\near-extremal-threshold\figures\qnm_markov_gap\drude_nS2_deph\gap_vs_T_drude_nS2_deph_seed_4.json
drude_nS2_deph__seed_5,5,drude_nS2_deph,drude,3.0,2,1,12,0.2,50.0,0.02,0.5,20,1.0000000000000009,1.0000000000000009,1.0,C:\Users\axioma338\Documents\Теория всего\Черные дыры\Алгербра\Репозиторий\near-extremal-threshold\figures\qnm_markov_gap\drude_nS2_deph\gap_vs_T_drude_nS2_deph_seed_5.csv,C:\Users\axioma338\Documents\Теория всего\Черные дыры\Алгербра\Репозиторий\near-extremal-threshold\figures\qnm_markov_gap\drude_nS2_deph\gap_vs_T_drude_nS2_deph_seed_5.png,C:\Users\axioma338\Documents\Теория всего\Черные дыры\Алгербра\Репозиторий\near-extremal-threshold\figures\qnm_markov_gap\drude_nS2_deph\gap_vs_T_drude_nS2_deph_seed_5.json
drude_nS2_deph__seed_6,6,drude_nS2_deph,drude,3.0,2,1,12,0.2,50.0,0.02,0.5,20,1.0000000000000009,1.0000000000000009,1.0,C:\Users\axioma338\Documents\Теория всего\Черные дыры\Алгербра\Репозиторий\near-extremal-threshold\figures\qnm_markov_gap\drude_nS2_deph\gap_vs_T_drude_nS2_deph_seed_6.csv,C:\Users\axioma338\Documents\Теория всего\Черные дыры\Алгербра\Репозиторий\near-extremal-threshold\figures\qnm_markov_gap\drude_nS2_deph\gap_vs_T_drude_nS2_deph_seed_6.png,C:\Users\axioma338\Documents\Теория всего\Черные дыры\Алгербра\Репозиторий\near-extremal-threshold\figures\qnm_markov_gap\drude_nS2_deph\gap_vs_T_drude_nS2_deph_seed_6.json
drude_nS2_deph__seed_7,7,drude_nS2_deph,drude,3.0,2,1,12,0.2,50.0,0.02,0.5,20,1.0000000000000013,1.0000000000000013,1.0,C:\Users\axioma338\Documents\Теория всего\Черные дыры\Алгербра\Репозиторий\near-extremal-threshold\figures\qnm_markov_gap\drude_nS2_deph\gap_vs_T_drude_nS2_deph_seed_7.csv,C:\Users\axioma338\Documents\Теория всего\Черные дыры\Алгербра\Репозиторий\near-extremal-threshold\figures\qnm_markov_gap\drude_nS2_deph\gap_vs_T_drude_nS2_deph_seed_7.png,C:\Users\axioma338\Documents\Теория всего\Черные дыры\Алгербра\Репозиторий\near-extremal-threshold\figures\qnm_markov_gap\drude_nS2_deph\gap_vs_T_drude_nS2_deph_seed_7.json
drude_nS2_deph__seed_8,8,drude_nS2_deph,drude,3.0,2,1,12,0.2,50.0,0.02,0.5,20,1.0000000000000004,1.0000000000000004,1.0,C:\Users\axioma338\Documents\Теория всего\Черные дыры\Алгербра\Репозиторий\near-extremal-threshold\figures\qnm_markov_gap\drude_nS2_deph\gap_vs_T_drude_nS2_deph_seed_8.csv,C:\Users\axioma338\Documents\Теория всего\Черные дыры\Алгербра\Репозиторий\near-extremal-threshold\figures\qnm_markov_gap\drude_nS2_deph\gap_vs_T_drude_nS2_deph_seed_8.png,C:\Users\axioma338\Documents\Теория всего\Черные дыры\Алгербра\Репозиторий\near-extremal-threshold\figures\qnm_markov_gap\drude_nS2_deph\gap_vs_T_drude_nS2_deph_seed_8.json
drude_nS2_deph__seed_9,9,drude_nS2_deph,drude,3.0,2,1,12,0.2,50.0,0.02,0.5,20,1.0000000000000004,1.0000000000000004,1.0,C:\Users\axioma338\Documents\Теория всего\Черные дыры\Алгербра\Репозиторий\near-extremal-threshold\figures\qnm_markov_gap\drude_nS2_deph\gap_vs_T_drude_nS2_deph_seed_9.csv,C:\Users\axioma338\Documents\Теория всего\Черные дыры\Алгербра\Репозиторий\near-extremal-threshold\figures\qnm_markov_gap\drude_nS2_deph\gap_vs_T_drude_nS2_deph_seed_9.png,C:\Users\axioma338\Documents\Теория всего\Черные дыры\Алгербра\Репозиторий\near-extremal-threshold\figures\qnm_markov_gap\drude_nS2_deph\gap_vs_T_drude_nS2_deph_seed_9.json
drude_nS2_deph__seed_10,10,drude_nS2_deph,drude,3.0,2,1,12,0.2,50.0,0.02,0.5,20,1.0000000000000004,1.0000000000000004,1.0,C:\Users\axioma338\Documents\Теория всего\Черные дыры\Алгербра\Репозиторий\near-extremal-threshold\figures\qnm_markov_gap\drude_nS2_deph\gap_vs_T_drude_nS2_deph_seed_10.csv,C:\Users\axioma338\Documents\Теория всего\Черные дыры\Алгербра\Репозиторий\near-extremal-threshold\figures\qnm_markov_gap\drude_nS2_deph\gap_vs_T_drude_nS2_deph_seed_10.png,C:\Users\axioma338\Documents\Теория всего\Черные дыры\Алгербра\Репозиторий\near-extremal-threshold\figures\qnm_markov_gap\drude_nS2_deph\gap_vs_T_drude_nS2_deph_seed_10.json
