T,gap
2.0000000000000000e-02,4.8939407570942363e-04
2.3692221574249297e-02,5.7970323892616812e-04
2.8066068156166187e-02,6.8666898944009494e-04
3.3247375273693563e-02,8.1336007548689772e-04
3.9385209087328260e-02,9.6340925449028055e-04
4.6656155022255896e-02,1.1411164020021867e-03
5.5269398129490534e-02,1.3515702477805715e-03
6.5472741337964463e-02,1.6007920137926968e-03
7.7559734742628228e-02,1.8959047677053239e-03
9.1878121038117488e-02,2.2453329173564799e-03
1.0883984007303869e-01,2.6590369598476758e-03
1.2893288035581452e-01,3.1487893627481786e-03
1.5273531847980659e-01,3.7284982881523794e-03
1.8093195038185547e-01,4.4145867576096355e-03
2.1433399291539990e-01,5.2264357681174106e-03
2.5390242255226164e-01,6.1869007569280180e-03
3.0077562266734270e-01,7.3229115966386357e-03
3.5630213481837403e-01,8.6661668600209810e-03
4.2207945627474813e-01,1.0253933243907965e-02
5.0000000000000000e-01,1.2129960516023240e-02
